"video_id","title","comment_text","author","published_at","comment_like_count","reply_count","comment_id","reply_text","parent_id","series"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"6:09 정답 :  JM님",@promax1218,"2020-10-27T13:00:29Z","0",0,Ugwvfty2RM3XOjTvcP94AaABAg,"",Ugwvfty2RM3XOjTvcP94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"1:18 헨타이스러운 숨소리까지 디테일해진 애무상..",@user-gc6ms5lg2l,"2020-10-27T13:00:32Z","24",1,Ugz-LMopU_P5H2YubTl4AaABAg,"",Ugz-LMopU_P5H2YubTl4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,역시 제이메무 상은 애플만 편애해～,@keikim828,"2020-10-27T13:00:35Z","0",0,Ugw_JElf3yBoVjzM2AF4AaABAg,"",Ugw_JElf3yBoVjzM2AF4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,영상 항상 재밌게 보고 있어요. 재치있어ㅋㅋ 열심히 촬영도와 주고 있는 사리짱♡ JM님 이발하실때 되신거 같아요.,@user-mb2ci8er5b,"2020-10-27T13:00:44Z","1",0,UgxQZKDJvJ4Gt7iMA154AaABAg,"",UgxQZKDJvJ4Gt7iMA154AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,이제 사리짱이 운전하고 다니는 중인겨???,@choi2k11,"2020-10-27T13:00:46Z","0",0,UgyrRQtZ61l-KkxcaFN4AaABAg,"",UgyrRQtZ61l-KkxcaFN4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,애플에서 딸기냄새 ㅋㅋㅋㅋㅋㅋㅋ,@Cyvogue_Franky,"2020-10-27T13:00:49Z","0",0,UgwrNlFyUrNerlC8GLR4AaABAg,"",UgwrNlFyUrNerlC8GLR4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"6일전에 픽셀파이브로 기변하셨지 않나여? ㅋㅋㅋ 프로기변러시군영ㅋㅋ",@user-hh1wn9xw1s,"2020-10-27T13:00:59Z","0",0,UgzociFzEDQFPoWTMqx4AaABAg,"",UgzociFzEDQFPoWTMqx4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,진짜 도라인가 ㅋㅋㅋㅋㅋㅋㅋ,@statham,"2020-10-27T13:01:00Z","30",0,UgyVJNGHJvk3ceOWYrx4AaABAg,"",UgyVJNGHJvk3ceOWYrx4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,아뿡갑습니다,@JACOB-ol9ws,"2020-10-27T13:01:02Z","0",0,UgzsCxant9n6vfJqhAV4AaABAg,"",UgzsCxant9n6vfJqhAV4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,역시 jm은 sm 5지 ㅋㅋ,@wonder7701,"2020-10-27T13:01:09Z","0",0,UgwUZWvlVm9YlBIjxC94AaABAg,"",UgwUZWvlVm9YlBIjxC94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"전설의 언박싱 영상..
https://youtu.be/j8KyVC5gIV8

언박싱은 SE2 이후 반년만",@xzpo0408,"2020-10-27T13:01:09Z","0",0,UgzTYUjRW_5LTKTcKVJ4AaABAg,"",UgzTYUjRW_5LTKTcKVJ4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"장모님 - ""내가 이러려고 아이폰 보내줬나 자괴감 들고 괴로워""",@hd398,"2020-10-27T13:01:12Z","1",0,UgwFVLTfdlmqoQB5Sfl4AaABAg,"",UgwFVLTfdlmqoQB5Sfl4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,형 테크유투버로 갈아타는거야?,@user-yu9rr8hv2y,"2020-10-27T13:01:21Z","1",0,UgxcHgSINTbnyv_RP8J4AaABAg,"",UgxcHgSINTbnyv_RP8J4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ제이엠스러운  리뷰👍
킁킁킁킁",@uuuoioix,"2020-10-27T13:01:22Z","0",0,UgzDUGUhC4Jtjb-17i94AaABAg,"",UgzDUGUhC4Jtjb-17i94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,어떤 언박싱보다 재밌다 ㅋㅋㅋ 계속보고있네,@user-ob8bg6pv8v,"2020-10-27T13:01:25Z","0",0,UgzfOJ-iCixMUhnmVtN4AaABAg,"",UgzfOJ-iCixMUhnmVtN4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"6:00 사리짱의 애무화 대략.. 95프로 완성ㅋㅋㅋㅋ",@dokgodie3340,"2020-10-27T13:01:32Z","39",0,UgwbPRVPgja15MbdBP14AaABAg,"",UgwbPRVPgja15MbdBP14AaABAg,"12"
